"","meta.wthk.r","meta.wthk.se","meta.wthk.zval","meta.wthk.pval","meta.wthk.ci.lb","meta.wthk.ci.ub","meta.wthk.tau2","meta.wthk.tause","meta.wthk.i2","meta.wthk.h2","meta.wthk.npat","fdr.p","fdr.p.mean"
"L_bankssts_thickavg",0.00741737701423659,0.0199006382755267,0.372720558584208,0.709356433734515,-0.0315871572751551,0.0464219113036282,0,0.00573643045479165,0,1,2512,0.972509139761302,1
"L_caudalanteriorcingulate_thickavg",0.0126166950978538,0.0193263272562095,0.65282425008094,0.513869588083029,-0.0252622102777516,0.0504956004734592,0,0.00558325136124351,0,1,2668,0.970759139010964,1
"L_caudalmiddlefrontal_thickavg",0.0306915114315951,0.028549486204257,1.07502850356091,0.282361967123459,-0.0252644533058717,0.0866474761690619,0.00741895221971524,0.00747178454916165,45.7557612077115,1.84351374867512,2675,0.784338797565164,1
"L_cuneus_thickavg",0.0186740345827419,0.019763211030857,0.944888690081053,0.344715706182465,-0.0200611472566026,0.0574092164220864,0,0.00591747380233832,0,1,2538,0.801664432982476,1
"L_entorhinal_thickavg",0.00238762424881347,0.019912412228177,0.119906328849243,0.904557350954226,-0.0366399865637284,0.0414152350613554,0,0.00581253320343328,0,1,2510,0.979353110222236,1
"L_fusiform_thickavg",-0.0103202069644777,0.0194191978346062,-0.531443525750917,0.59511146633255,-0.0483811353289642,0.0277407214000087,0,0.00566933524705629,0,1,2640,0.970759139010964,1
"L_inferiorparietal_thickavg",-0.00557640613741971,0.0196409800153197,-0.283916898905766,0.776474065722905,-0.0440720195885174,0.0329192073136779,0,0.00577187415055467,0,1,2586,0.972509139761302,1
"L_inferiortemporal_thickavg",0.00355654958826589,0.0195216842334324,0.182184566953246,0.8554378840978,-0.034705248426825,0.0418183476033568,0,0.00582145935623016,0,1,2611,0.979353110222236,1
"L_isthmuscingulate_thickavg",-0.0134465489002419,0.0328236289865294,-0.40966064129473,0.6820549059593,-0.0777796795557446,0.0508865817552607,0.0127288761127994,0.00870080562469293,59.1884499512572,2.45028674187984,2686,0.972509139761302,1
"L_lateraloccipital_thickavg",-0.00641352929325837,0.0235970969016826,-0.271793149809079,0.785781072680246,-0.0526629893602579,0.0398359307737411,0.00260189730167601,0.00620277204609007,22.4423653552339,1.28936371587434,2644,0.972509139761302,1
"L_lateralorbitofrontal_thickavg",0.0179309626645004,0.0283074725054164,0.633435664772597,0.526449181090101,-0.0375506639394735,0.0734125892684743,0.00703433297434512,0.00749744493854292,44.3294653961807,1.79628237292227,2659,0.970759139010964,1
"L_lingual_thickavg",-0.00737844814461039,0.0194493365142694,-0.379367601521884,0.704414905827017,-0.0454984472357783,0.0307415509465575,0,0.00579559295683686,0,1,2622,0.972509139761302,1
