,meta.wthk.r,meta.wthk.se,meta.wthk.zval,meta.wthk.pval,meta.wthk.ci.lb,meta.wthk.ci.ub,meta.wthk.tau2,meta.wthk.tause,meta.wthk.i2,meta.wthk.h2,meta.wthk.npat,fdr.p,fdr.p.mean
L_bankssts_thickavg,-0.030544071,0.032307815,-0.94540813,0.344450553,-0.093866225,0.032778083,0.013835377,0.00945743,55.88349249,2.266725216,2539,0.51738681,1
L_caudalanteriorcingulate_thickavg,0.024109932,0.019502395,1.236254946,0.216363813,-0.014114059,0.062333924,0.000201362,0.006048448,1.853203711,1.018881958,2704,0.401019799,1
L_caudalmiddlefrontal_thickavg,-0.038155228,0.024964481,-1.528380594,0.12641807,-0.087084711,0.010774255,0.004588243,0.006992396,30.28253536,1.434360824,2711,0.316045176,1
L_cuneus_thickavg,-0.044584668,0.026461446,-1.684891607,0.092009486,-0.096448149,0.007278813,0.005725525,0.007490275,33.98038497,1.51470135,2587,0.270616136,1
L_entorhinal_thickavg,-0.020664931,0.028431293,-0.726837534,0.467325487,-0.076389241,0.035059379,0.008222515,0.007953043,42.39227697,1.735878364,2558,0.614901956,1
L_fusiform_thickavg,-0.02774684,0.022963775,-1.208287392,0.226936737,-0.072755011,0.017261332,0.002547178,0.00652118,19.14478422,1.236778593,2676,0.405244172,1
L_inferiorparietal_thickavg,-0.045606304,0.019341354,-2.357968481,0.018375253,-0.083514662,-0.007697946,0,0.006072291,0,1,2634,0.196797321,1
L_inferiortemporal_thickavg,-0.000292926,0.020731291,-0.014129641,0.988726553,-0.040925509,0.040339658,0.000897441,0.006304274,7.724499382,1.08371127,2651,0.99854821,1
L_isthmuscingulate_thickavg,-0.025849053,0.019058791,-1.356279783,0.175010166,-0.063203596,0.011505491,0,0.006072209,0,1,2721,0.380456882,1
L_lateraloccipital_thickavg,-0.027523281,0.019158797,-1.436587156,0.150835335,-0.065073833,0.01002727,0,0.006163828,0,1,2688,0.35077985,1
L_lateralorbitofrontal_thickavg,-0.052705358,0.030323747,-1.738088533,0.082195215,-0.112138811,0.006728095,0.011309855,0.008585415,52.02093547,2.084242387,2715,0.259008803,1
L_lingual_thickavg,-0.048942337,0.02243739,-2.181284742,0.029162362,-0.092918814,-0.00496586,0.002134165,0.006657531,16.60106815,1.199056124,2672,0.224325864,1
L_medialorbitofrontal_thickavg,0.042709158,0.019114971,2.234330312,0.025461347,0.005244504,0.080173813,0,0.006362727,0,1,2689,0.212177894,1
L_middletemporal_thickavg,0.000389656,0.019800471,0.019679108,0.984299357,-0.038418554,0.039197866,0,0.006565444,0,1,2546,0.99854821,1
L_parahippocampal_thickavg,-0.004281348,0.037375017,-0.114551071,0.908800964,-0.077535035,0.068972339,0.023885353,0.011724089,69.73434975,3.304075715,2706,0.99233042,1
L_paracentral_thickavg,-0.050668578,0.0251625,-2.013654342,0.044045837,-0.099986172,-0.001350984,0.004809927,0.006988794,31.45645373,1.458926557,2714,0.238215378,1
L_parsopercularis_thickavg,-0.071248331,0.019038524,-3.742324303,0.000182326,-0.108563152,-0.03393351,0,0.006093201,0,1,2692,0.018232601,1
L_parsorbitalis_thickavg,-0.063374241,0.019027383,-3.33068625,0.000866322,-0.100667226,-0.026081257,0,0.005934561,0,1,2699,0.043316093,1
L_parstriangularis_thickavg,-0.032251212,0.029303408,-1.100595939,0.271072554,-0.089684836,0.025182412,0.009873324,0.008260263,48.18400862,1.929906142,2685,0.45178759,1
L_pericalcarine_thickavg,-0.042107701,0.026026486,-1.617878849,0.105688709,-0.093118676,0.008903274,0.005374482,0.007223359,33.02033375,1.492990419,2643,0.28673334,1
L_postcentral_thickavg,-0.074489603,0.03193691,-2.332398592,0.019679732,-0.137084796,-0.01189441,0.013820761,0.009181586,56.6642842,2.307565438,2665,0.196797321,1
L_posteriorcingulate_thickavg,-0.005202894,0.025380175,-0.204998352,0.837573412,-0.054947122,0.044541334,0.00502403,0.007126745,32.23382199,1.475662387,2720,0.951787969,1
L_precentral_thickavg,-0.059618308,0.025185366,-2.367180562,0.017924186,-0.108980718,-0.010255898,0.00480792,0.007077349,31.23000372,1.454122516,2686,0.196797321,1
L_precuneus_thickavg,-0.023587245,0.025578618,-0.922146984,0.356451913,-0.073720415,0.026545925,0.005205765,0.007134741,33.00031866,1.492544412,2710,0.518073151,1
L_rostralanteriorcingulate_thickavg,0.024498476,0.019157025,1.278824635,0.200958817,-0.013048604,0.062045555,0,0.005947739,0,1,2695,0.401019799,1
L_rostralmiddlefrontal_thickavg,-0.034557399,0.019171781,-1.80251375,0.071464613,-0.0721334,0.003018601,0,0.005956565,0,1,2700,0.238215378,1
L_superiorfrontal_thickavg,-0.037585972,0.019157131,-1.961983279,0.049764431,-0.075133259,-3.87E-05,0,0.005994179,0,1,2699,0.238215378,1
L_superiorparietal_thickavg,-0.051315143,0.026897287,-1.907818564,0.056414671,-0.104032855,0.00140257,0.006653746,0.007485204,38.43010975,1.624170509,2665,0.238215378,1
L_superiortemporal_thickavg,-0.023263096,0.02471882,-0.941108689,0.346649163,-0.071711093,0.025184901,0.003770105,0.007112588,24.93387185,1.332158757,2529,0.51738681,1
L_supramarginal_thickavg,-0.043458129,0.022086093,-1.967669321,0.049106098,-0.086746076,-0.000170181,0.001627774,0.006272451,12.78244163,1.146558123,2584,0.238215378,1
L_frontalpole_thickavg,0.001070951,0.019077539,0.056136725,0.955232888,-0.036320339,0.03846224,0,0.006032584,0,1,2726,0.995245733,1
L_temporalpole_thickavg,0.022480345,0.027687677,0.811925999,0.416834095,-0.031786505,0.076747194,0.007605752,0.007666479,41.63618811,1.713390486,2679,0.571005609,1
L_transversetemporal_thickavg,0.009238763,0.031101186,0.297055002,0.766424517,-0.051718441,0.070195967,0.012653846,0.008982963,54.79372792,2.212082426,2726,0.895787667,1
L_insula_thickavg,-0.027154738,0.022132457,-1.226919279,0.219852932,-0.070533557,0.016224081,0.001910022,0.00692656,15.14006529,1.178412408,2673,0.401019799,1
R_bankssts_thickavg,-0.001917318,0.019270296,-0.099496024,0.920744445,-0.039686404,0.035851768,0,0.006054666,0,1,2658,0.99233042,1
R_caudalanteriorcingulate_thickavg,0.008790036,0.019146812,0.459086163,0.646172293,-0.028737025,0.046317098,0,0.006186064,0,1,2716,0.797743571,1
R_caudalmiddlefrontal_thickavg,-0.039996055,0.023550026,-1.698344454,0.089442769,-0.086153258,0.006161147,0.003166117,0.006530812,22.9648641,1.298108958,2700,0.270616136,1
R_cuneus_thickavg,-0.029610318,0.026549948,-1.115268434,0.264735408,-0.08164726,0.022426623,0.005958483,0.007865756,35.30013783,1.545598347,2613,0.448704081,1
R_entorhinal_thickavg,0.011790666,0.027712632,0.42546178,0.670500078,-0.042525095,0.066106426,0.006885576,0.007759887,37.30018814,1.594901118,2472,0.801248527,1
R_fusiform_thickavg,3.50E-05,0.019218555,0.00181955,0.99854821,-0.037632706,0.037702645,0,0.00609633,0,1,2682,0.99854821,1
R_inferiorparietal_thickavg,-0.033252492,0.026921915,-1.235145856,0.216776226,-0.086018476,0.019513492,0.006465965,0.007468848,37.17950962,1.591837303,2628,0.401019799,1
R_inferiortemporal_thickavg,-0.027973284,0.019321281,-1.447796513,0.147673968,-0.065842299,0.009895732,0,0.006140316,0,1,2659,0.35077985,1
R_isthmuscingulate_thickavg,-0.004517339,0.019135406,-0.236072302,0.813376566,-0.042022046,0.032987367,0,0.00616971,0,1,2711,0.934915593,1
R_lateraloccipital_thickavg,-0.064376627,0.028424493,-2.264829388,0.023523151,-0.120087609,-0.008665644,0.00863677,0.0078348,44.85566432,1.81342288,2677,0.212177894,1
R_lateralorbitofrontal_thickavg,-0.022886145,0.037539403,-0.6096566,0.54208931,-0.096462022,0.050689733,0.023929103,0.011870238,69.97686825,3.330765119,2694,0.677611637,1
R_lingual_thickavg,-0.040719076,0.034783272,-1.17065112,0.24173904,-0.108893036,0.027454884,0.018516997,0.010607155,63.90893147,2.770768616,2671,0.416791449,1
R_medialorbitofrontal_thickavg,-0.005942913,0.020360719,-0.291881284,0.770377394,-0.04584919,0.033963364,0.000604279,0.006170673,5.274709395,1.055684278,2667,0.895787667,1
R_middletemporal_thickavg,0.019855809,0.029885742,0.664390716,0.506440273,-0.038719168,0.078430786,0.010411644,0.008424862,48.90949034,1.957310676,2637,0.649282402,1
R_parahippocampal_thickavg,-0.045391208,0.028135304,-1.61331855,0.106675318,-0.100535391,0.009752975,0.008355892,0.007875635,44.32769745,1.79622533,2708,0.28673334,1
R_paracentral_thickavg,-0.037467881,0.019918804,-1.881030677,0.059967746,-0.076508019,0.001572257,0.000468056,0.006113712,4.22755782,1.044141694,2713,0.238215378,1
R_parsopercularis_thickavg,0.000649262,0.019250876,0.033726358,0.97309536,-0.037081761,0.038380285,0,0.00609263,0,1,2666,0.99854821,1
R_parsorbitalis_thickavg,-0.045155369,0.028240085,-1.598981351,0.109824746,-0.100504917,0.01019418,0.008440049,0.007937924,44.88089262,1.814252893,2695,0.28673334,1
R_parstriangularis_thickavg,-0.043437937,0.025047842,-1.734198794,0.082882817,-0.092530806,0.005654931,0.004472593,0.006913033,29.31109073,1.414649073,2661,0.259008803,1
R_pericalcarine_thickavg,-0.017217027,0.040302184,-0.427198354,0.66923486,-0.096207857,0.061773803,0.029447456,0.013258421,73.39816948,3.759139805,2625,0.801248527,1
R_postcentral_thickavg,-0.067753419,0.023728973,-2.855303464,0.004299572,-0.114261351,-0.021245486,0.00323299,0.006549135,23.1405668,1.30107647,2665,0.085991449,1
R_posteriorcingulate_thickavg,0.016577625,0.01916711,0.86489956,0.387093919,-0.02098922,0.05414447,0,0.006124795,0,1,2721,0.545202703,1
R_precentral_thickavg,-0.065517478,0.032024152,-2.04587707,0.040768467,-0.128283663,-0.002751294,0.014005461,0.009212955,56.96881296,2.32389592,2668,0.238215378,1
R_precuneus_thickavg,-0.027436854,0.022396736,-1.225038038,0.220560889,-0.07133365,0.016459943,0.002180474,0.006483264,17.0548371,1.205615813,2709,0.401019799,1
R_rostralanteriorcingulate_thickavg,0.026164545,0.031636771,0.827029578,0.408220297,-0.035842386,0.088171476,0.013305055,0.008987218,55.39841261,2.242072667,2662,0.566972635,1
R_rostralmiddlefrontal_thickavg,-0.026591864,0.019227199,-1.383033648,0.166654549,-0.064276482,0.011092755,0,0.005911533,0,1,2678,0.370343442,1
R_superiorfrontal_thickavg,-0.031062208,0.019099048,-1.626374663,0.103869977,-0.068495655,0.006371239,0,0.005919926,0,1,2699,0.28673334,1
R_superiorparietal_thickavg,-0.053570022,0.029148574,-1.83782648,0.066087978,-0.110700178,0.003560134,0.009651236,0.008139928,47.67142336,1.911001721,2676,0.238215378,1
R_superiortemporal_thickavg,-0.011117772,0.026347463,-0.421967468,0.673048763,-0.06275785,0.040522306,0.005821186,0.007397105,34.63031612,1.529761107,2611,0.801248527,1
R_supramarginal_thickavg,-0.02361586,0.026572298,-0.888739848,0.37414291,-0.075696606,0.028464887,0.005953141,0.00719345,34.9471521,1.537211717,2601,0.534489871,1
R_frontalpole_thickavg,0.025103981,0.019144871,1.311264027,0.189768577,-0.012419277,0.062627239,0,0.006170358,0,1,2716,0.401019799,1
R_temporalpole_thickavg,-0.001709471,0.020270165,-0.084334359,0.932790595,-0.041438264,0.038019321,0.000494792,0.006175141,4.320216712,1.045152869,2612,0.99233042,1
R_transversetemporal_thickavg,-0.022310536,0.019039884,-1.171778935,0.241285822,-0.059628023,0.015006952,0,0.006024549,0,1,2729,0.416791449,1
R_insula_thickavg,0.003234221,0.035806083,0.09032603,0.928028135,-0.066944412,0.073412855,0.020463218,0.011372898,66.16804016,2.955785018,2640,0.99233042,1
LThickness,-0.045498681,0.019018207,-2.392374905,0.016739733,-0.082773681,-0.00822368,0,0.006015602,0,1,2730,0.196797321,1
RThickness,-0.041550524,0.020927982,-1.98540523,0.047099405,-0.082568615,-0.000532434,0.001147022,0.006140719,9.826632477,1.108974886,2730,0.238215378,1
LSurfArea,-0.020011596,0.026212546,-0.763435806,0.445203533,-0.071387242,0.03136405,0.006001098,0.007322854,36.36348587,1.571424855,2730,0.59360471,1
RSurfArea,-0.016225935,0.023058338,-0.703690556,0.481625503,-0.061419448,0.028967578,0.002774839,0.006576714,20.82108003,1.262962415,2730,0.625487667,1
